id,segcode,bmp,emp,direction,rutting,year
111528,001660,55.239,58.461,A,0.26,2001
111544,001666,0,0.565,N,0.16,2001
111559,001790,93.4,96.16,N,0.18,2001
111543,001665,3.928,3.957,N,0.12,2001
111558,001790,91.81,93.4,N,0.34,2001
111540,001664,0.255,0.944,N,0.13,2001
111547,001780,1.11,1.27,N,0.14,2001
111556,001790,82.328,86.9,N,0.33,2001
111555,001790,75.793,82.328,N,0.34,2001
111549,001780,1.647,5.324,N,0.2,2001
111552,001790,67.03,68.767,N,0.34,2001
111557,001790,86.9,91.81,N,0.38,2001
111551,001790,60.628,67.03,N,0.08,2001
111554,001790,69.134,75.793,N,0.34,2001
111546,001670,60.89,61.607,N,0.17,2001
111550,001780,5.335,7.38,N,0.15,2001
111548,001780,1.27,1.647,N,0.22,2001
111542,001665,3.847,3.928,N,0.12,2001
111545,001666,0.565,1,N,0.17,2001
111541,001664,0.944,1.52,N,0.24,2001
111553,001790,68.767,69.134,N,0.31,2001
111579,001800,67.648,70.165,N,0.17,2001
111575,001800,48.236,52.459,N,0.05,2001
111565,001800,6.349,12.275,N,0.11,2001
111564,001800,4.58,6.349,N,0.13,2001
111576,001800,52.459,58.355,N,0.05,2001
111566,001800,12.275,12.4,N,0.19,2001
111572,001800,25.594,29,N,0.05,2001
111567,001800,12.4,13.66,N,0.16,2001
111577,001800,58.355,59.756,N,0.25,2001
111570,001800,18,22.413,N,0.04,2001
111578,001800,59.756,67.648,N,0.3,2001
111569,001800,16.1,17.85,N,0.12,2001
111568,001800,13.84,16.1,N,0.25,2001
111574,001800,39.465,48.236,N,0.16,2001
111560,001790,96.16,96.429,N,0.1,2001
111571,001800,22.413,25.594,N,0.09,2001
111563,001800,2.502,4.58,N,0.05,2001
111573,001800,39,39.465,N,0.21,2001
111561,001800,0,0.467,N,0.2,2001
111562,001800,0.467,2.484,N,0.11,2001
111595,001800,90.786,93.05,N,0.19,2001
111582,001800,73.4,74.5,N,0.16,2001
111581,001800,73.2,73.4,N,0.17,2001
111583,001800,74.5,76,N,0.06,2001
111591,001800,85.09,86.383,N,0.13,2001
111584,001800,76,77.9,N,0.18,2001
111587,001800,81,82.8,N,0.31,2001
111598,001800,95.88,103.24,N,0.07,2001
111580,001800,70.055,73.2,N,0.11,2001
111596,001800,93.05,95.628,N,0.23,2001
111599,001800,103.24,109.362,N,0.11,2001
111585,001800,77.9,79,N,0.23,2001
111589,001800,84.331,84.683,N,0.2,2001
111592,001800,86.963,87.06,N,0.1,2001
111590,001800,84.683,85.09,N,0.17,2001
111593,001800,87.414,89.05,N,0.25,2001
111588,001800,82.8,84.331,N,0.39,2001
111594,001800,89.05,90.786,N,0.2,2001
111597,001800,95.73,95.88,N,0.08,2001
111586,001800,79,81,N,0.2,2001
111603,001820,0,0.49,N,0.37,2001
111615,001820,18.67,18.925,N,0.3,2001
111607,001820,4.42,4.55,N,0.14,2001
111614,001820,17.897,18.67,N,0.34,2001
111616,001820,18.925,19.14,N,0.31,2001
111612,001820,13.971,17.235,N,0.15,2001
111618,001840,100,104.42,N,0.16,2001
111610,001820,7.895,11.262,N,0.13,2001
111602,001810,2.76,2.861,N,0.31,2001
111613,001820,17.235,17.897,N,0.22,2001
111608,001820,4.832,5.856,N,0.27,2001
111604,001820,0.49,1.132,N,0.17,2001
111600,001800,109.362,117.68,N,0.12,2001
