id,segcode,bmp,emp,dir,cracking,year
61673,001870,48.685,53.589,N,2.3,2000
61674,001860,0,3.63,N,1.8,2000
61660,001870,3.28,4.414,N,3.8,2000
61675,001860,3.63,7.3,N,2.8,2000
61671,001870,43.11,43.7,N,4.5,2000
61670,001870,36.27,43,N,4.5,2000
61661,001870,4.414,5.05,N,3,2000
61664,001870,14.061,14.273,N,1.5,2000
61669,001870,26.317,36.31,N,4.5,2000
61665,001870,14.273,14.572,N,1.2,2000
61666,001870,14.572,17.44,N,4.8,2000
61678,001930,2.75,4.1,N,4,2000
61668,001870,25.796,26.317,N,4.4,2000
61662,001870,5.05,10.63,N,5,2000
61676,001860,7.3,13.522,N,3.5,2000
61679,001930,4.1,6.444,N,4,2000
61663,001870,10.63,14.061,N,3.4,2000
61672,001870,43.7,48.685,N,2.9,2000
61667,001870,17.52,25.796,N,4.8,2000
61691,001960,0.323,0.778,N,5,2000
61698,001960,22.473,25.406,N,1.5,2000
61690,001960,0,0.323,N,5,2000
61692,001960,0.778,1.12,N,5,2000
61699,001960,25.406,25.493,N,5,2000
61688,001930,34.177,35.164,N,5,2000
61680,001930,6.444,7.9,N,4.5,2000
61685,001930,23.143,29.334,N,1.4,2000
61681,001930,7.9,12.794,N,3.4,2000
61697,001960,22.096,22.473,N,1.5,2000
61686,001930,29.334,29.54,N,5,2000
61696,001960,15.102,22.096,N,1.4,2000
61684,001930,18.678,23.143,N,4.5,2000
61695,001960,11.249,15.102,N,1.8,2000
61694,001960,6.605,11.249,N,4,2000
61683,001930,17.667,18.678,N,3.3,2000
61693,001960,1.12,6.605,N,1.2,2000
61682,001930,12.794,17.667,N,3.5,2000
61689,001930,35.164,42.54,N,1.5,2000
61687,001930,29.54,34.118,N,5,2000
61718,002050,4.555,4.827,N,4,2000
61717,002050,3.976,4.555,N,1.9,2000
61710,001970,41.025,46.69,N,3,2000
61714,001390,9,11.96,N,5,2000
61707,001970,23.015,30.052,N,2.5,2000
61704,001970,0,8.7,N,4.5,2000
61709,001970,35.607,41.025,N,3.3,2000
61701,001960,25.512,25.84,N,5,2000
61708,001970,30.052,35.607,N,3,2000
61713,001390,0,9,N,5,2000
61719,002050,9.07,13.4,N,5,2000
61712,001970,48.96,49.515,N,4.8,2000
61715,001390,11.96,13.927,N,5,2000
61706,001970,16.782,23.015,N,4.8,2000
61700,001960,25.493,25.512,N,3.5,2000
61702,001960,25.84,26.39,N,4.5,2000
61705,001970,8.7,16.782,N,2.6,2000
61716,002050,0,3.976,N,1.5,2000
61703,001961,0.03,0.824,N,4.8,2000
61711,001970,46.75,48.96,N,2.3,2000
61735,002140,17.16,22,N,4.8,2000
61729,002141,0.41,0.788,N,4.5,2000
61731,002141,3.44,3.58,N,4,2000
61721,002050,14.28,14.6,N,5,2000
61730,002141,0.788,3.44,N,4,2000
61737,002140,28,33.49,N,4.5,2000
61733,002140,10.265,16.425,N,5,2000
61720,002050,13.4,14.28,N,1.3,2000
61725,001540,34.195,34.572,N,2.5,2000
61739,002140,38.908,43.5,N,4.1,2000
61728,002140,0,0.41,N,3,2000
61724,002050,18.795,19.915,N,4.5,2000
61738,002140,33.49,38.908,N,4.5,2000
61723,002050,17.481,18.795,N,4.5,2000
61727,002140,8.405,10.265,A,2.9,2000
61732,002140,8.252,8.405,N,2,2000
61736,002140,22,28,N,4.7,2000
61722,002050,14.6,17.481,N,5,2000
