id,route,milepost_from,segment_from,milepost_to,segment_to,effective_date,jurisdiction_left,jurisdiction_left_code,jurisdiction_right,jurisdiction_right_code,comments,user_update,year
87032,,100,030503,100.122,030503,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87033,,100,030504,100.078,030504,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87034,,100,030505,100.042,030505,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87035,,100,030506,100.055,030506,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87036,,100,030507,100.354,030507,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87037,,100,030508,101.078,030508,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87038,,100,030509,100.3,030509,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
87039,,100,030510,100.3,030510,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
87040,,100,030512,101.22,030512,9/1/2011,Fremont County,220,Fremont County,220,,SYSTEM,2014
87041,,100,030513,100.3,030513,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
87042,,100,030514,100.509,030514,9/1/2011,Fremont County,220,Fremont County,220,,SYSTEM,2014
87043,,100,030515,102.44,030515,1/1/2010,Fremont County,220,Fremont County,220,,SYSTEM,2014
87044,,100,030516,102.2,030516,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
87045,,100,030517,102.5,030517,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
87046,,100,030518,102,030518,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
87047,,100,030519,101,030519,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
